2020,05.13,4290160,289718,1538475,83597,6.75,35.86
2020,05.14,4379541,294603,1594533,94915,6.73,36.41
2020,05.15,4478206,299934,1642435,98112,6.70,36.68
2020,05.16,4573645,304932,1692362,92235,6.67,37.00
2020,05.17,4663573,308984,1746414,86331,6.63,37.45
2020,05.18,4747397,312577,1790866,86563,6.58,37.72
2020,05.19,4836729,316088,1844436,86991,6.54,38.13
2020,05.20,4930184,320861,1898606,94574,6.51,38.51
2020,05.21,5033107,325890,1959894,108962,6.47,38.94
2020,05.22,5133185,330440,2015960,96101,6.44,39.27
2020,05.23,5254085,335874,2130825,118747,6.39,40.56
2020,05.24,5346620,339554,2190964,90294,6.35,40.98
2020,05.25,5449342,342536,2239201,102904,6.29,41.09
2020,05.26,5532586,345839,2309693,82985,6.25,41.75
2020,05.27,5628637,348589,2375308,97920,6.19,42.20
2020,05.28,5735136,353387,2441154,108629,6.16,42.56
2020,05.29,5855770,358219,2521884,123045,6.12,43.07
2020,05.30,5973825,362763,2599658,116276,6.07,43.52
2020,05.31,6109887,367105,2677957,133122,6.01,43.83
2020,06.01,6211536,369822,2782682,103452,5.95,44.80
2020,06.02,6316807,373433,2844199,105000,5.91,45.03
2020,06.03,6387710,377384,2876395,69599,5.91,45.03
2020,06.04,6557951,383976,3007853,171931,5.86,45.87
2020,06.05,6690663,389484,3091002,135837,5.82,46.20
2020,06.06,6834592,393312,3240801,125108,5.75,47.42
2020,06.07,6968168,398198,3326500,129645,5.71,47.74
2020,06.08,7075123,400747,3382582,107094,5.66,47.81
2020,06.09,7181039,404608,3543173,105928,5.63,49.34
2020,06.10,7283166,409143,3617065,103923,5.62,49.66
2020,06.11,7438919,414962,3730142,155753,5.58,50.14
2020,06.12,7579657,419911,3808413,144659,5.54,50.25
2020,06.13,7717752,424061,3910782,138095,5.49,50.67
2020,06.14,7849902,428152,3998941,126768,5.45,50.94
2020,06.15,7976159,431607,4073115,126975,5.41,51.07
2020,06.16,8100666,435294,4186639,128162,5.37,51.68
2020,06.17,8238483,441987,4268111,138438,5.36,51.81
2020,06.18,8418965,447329,4395972,181079,5.31,52.22
2020,06.19,8554979,452380,4484778,141629,5.29,52.42
2020,06.20,8732379,458354,4592528,177249,5.25,52.59
2020,06.21,8858135,462590,4707343,118447,5.22,53.14
2020,06.22,9020662,466474,4779465,167944,5.17,52.98
2020,06.23,9165978,470331,4885305,149835,5.13,53.30
2020,06.24,9330387,475799,4999492,167497,5.10,53.58
2020,06.25,9512064,481136,5127435,182758,5.06,53.90
2020,06.26,9692384,488210,5226637,186344,5.04,53.93
2020,06.27,9881459,492953,5336756,184288,4.99,54.01
2020,06.28,10063585,497476,5447852,179085,4.94,54.13
2020,06.29,10227646,500595,5539321,168255,4.89,54.16
2020,06.30,10382857,504822,5639700,156519,4.86,54.32
2020,07.01,10560840,510269,5774876,178425,4.83,54.68
