中国,北京,东城,19,0,0,0,19
中国,北京,顺义,45,0,0,0,45
中国,北京,怀柔,8,0,0,0,8
中国,北京,密云,7,0,0,0,7
中国,北京,门头沟,5,0,0,0,5
中国,北京,石景山,15,0,0,0,15
中国,北京,延庆,1,0,0,0,1
中国,北京,地区待确认,2,0,-133,0,135
中国,福建,境外输入,684,0,75,0,609
中国,福建,厦门,276,0,0,0,276
中国,福建,漳州,23,0,0,0,23
中国,福建,地区待确认,0,0,0,0,0
中国,福建,莆田,261,0,0,0,261
中国,福建,泉州,71,0,0,0,71
中国,福建,宁德,26,0,0,0,26
中国,福建,龙岩,6,0,0,0,6
中国,福建,南平,20,0,0,0,20
中国,福建,三明,14,0,0,0,14
中国,福建,福州,72,0,0,1,71
中国,云南,境外输入,1395,0,49,0,1346
中国,云南,德宏州,294,0,6,0,288
中国,云南,昆明,58,0,5,0,53
中国,云南,西双版纳州,19,0,4,1,14
中国,云南,昭通市,25,0,0,0,25
中国,云南,曲靖,13,0,0,0,13
中国,云南,保山市,9,0,0,0,9
中国,云南,玉溪,14,0,0,1,13
中国,云南,丽江市,7,0,0,0,7
中国,云南,红河,9,0,0,0,9
中国,云南,大理,13,0,0,0,13
中国,云南,文山州,2,0,0,0,2
中国,云南,普洱,4,0,0,0,4
中国,云南,楚雄州,4,0,0,0,4
中国,云南,临沧,1,0,0,0,1
中国,云南,地区待确认,0,0,-5,0,5
中国,四川,境外输入,781,0,47,0,734
中国,四川,成都,191,0,14,3,174
中国,四川,甘孜,78,0,0,0,78
中国,四川,自贡,10,0,0,0,10
中国,四川,宜宾,13,0,0,0,13
中国,四川,泸州,25,0,0,0,25
中国,四川,绵阳,23,0,0,0,23
中国,四川,雅安,8,0,0,0,8
中国,四川,阿坝,1,0,0,0,1
中国,四川,资阳,4,0,0,0,4
中国,四川,眉山,8,0,0,0,8
中国,四川,巴中,24,0,0,0,24
中国,四川,达州,42,0,0,0,42
中国,四川,广安,30,0,0,0,30
中国,四川,南充,39,0,0,0,39
中国,四川,乐山,3,0,0,0,3
中国,四川,内江,22,0,0,0,22
中国,四川,遂宁,17,0,0,0,17
中国,四川,广元,6,0,0,0,6
中国,四川,德阳,18,0,0,0,18
中国,四川,攀枝花,16,0,0,0,16
中国,四川,凉山,13,0,0,0,13
中国,四川,地区待确认,0,0,-17,0,17
中国,山东,境外输入,265,0,23,0,242
中国,山东,济南,49,0,2,0,47
中国,山东,泰安,35,0,0,2,33
中国,山东,烟台,58,0,0,0,58
中国,山东,青岛,80,0,0,1,79
中国,山东,济宁,260,0,0,0,260
中国,山东,淄博,30,0,0,1,29
